"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,,,,,5000,2,20,1.188227,,,,,,,,,,,,,,,
,,,,,5000,2,20,20.714923,,,,,,,,,,,,,,,
,,,,,5000,2,21,1.111796,,,,,,,,,,,,,,,
,,,,,5000,2,21,20.714477,,,,,,,,,,,,,,,
,,,,,5000,2,22,1.119456,,,,,,,,,,,,,,,
,,,,,5000,2,22,20.713861,,,,,,,,,,,,,,,
,,,,,5000,2,23,1.097586,,,,,,,,,,,,,,,
,,,,,5000,2,23,20.714062,,,,,,,,,,,,,,,
,,,,,5000,2,24,1.102306,,,,,,,,,,,,,,,
,,,,,5000,2,24,20.714078,,,,,,,,,,,,,,,
,,,,,5000,2,25,1.076665,,,,,,,,,,,,,,,
,,,,,5000,2,25,20.713530,,,,,,,,,,,,,,,
,,,,,5000,2,26,1.068041,,,,,,,,,,,,,,,
,,,,,5000,2,26,20.713663,,,,,,,,,,,,,,,
,,,,,5000,2,27,1.140002,,,,,,,,,,,,,,,
,,,,,5000,2,27,20.713055,,,,,,,,,,,,,,,
,,,,,5000,2,28,1.130268,,,,,,,,,,,,,,,
,,,,,5000,2,28,20.713459,,,,,,,,,,,,,,,
,,,,,5000,2,29,1.136085,,,,,,,,,,,,,,,
,,,,,5000,2,29,20.714214,,,,,,,,,,,,,,,
,,,,,5000,2,30,1.191255,,,,,,,,,,,,,,,
,,,,,5000,2,30,20.713587,,,,,,,,,,,,,,,
,,,,,5000,2,31,1.177008,,,,,,,,,,,,,,,
,,,,,5000,2,31,20.714544,,,,,,,,,,,,,,,
,,,,,5000,2,32,1.187246,,,,,,,,,,,,,,,
,,,,,5000,2,32,20.713888,,,,,,,,,,,,,,,
,,,,,5000,2,33,1.201359,,,,,,,,,,,,,,,
,,,,,5000,2,33,20.714029,,,,,,,,,,,,,,,
,,,,,5000,2,34,1.196855,,,,,,,,,,,,,,,
,,,,,5000,2,34,20.715129,,,,,,,,,,,,,,,
,,,,,5000,2,35,1.284479,,,,,,,,,,,,,,,
,,,,,5000,2,35,20.713397,,,,,,,,,,,,,,,
,,,,,5000,2,36,1.293243,,,,,,,,,,,,,,,
,,,,,5000,2,36,20.713616,,,,,,,,,,,,,,,
,,,,,5000,2,37,1.269358,,,,,,,,,,,,,,,
,,,,,5000,2,37,20.713964,,,,,,,,,,,,,,,
,,,,,5000,2,38,1.307274,,,,,,,,,,,,,,,
,,,,,5000,2,38,20.713649,,,,,,,,,,,,,,,
,,,,,5000,2,39,0.770138,,,,,,,,,,,,,,,
,,,,,5000,2,39,20.714380,,,,,,,,,,,,,,,
,,,,,5000,2,40,0.802889,,,,,,,,,,,,,,,
,,,,,5000,2,40,20.713839,,,,,,,,,,,,,,,
,,,,,5000,2,41,0.936631,,,,,,,,,,,,,,,
,,,,,5000,2,41,20.723686,,,,,,,,,,,,,,,
,,,,,5000,2,42,0.809651,,,,,,,,,,,,,,,
,,,,,5000,2,42,20.714320,,,,,,,,,,,,,,,
,,,,,5000,2,43,0.841432,,,,,,,,,,,,,,,
,,,,,5000,2,43,20.713668,,,,,,,,,,,,,,,
,,,,,5000,2,44,0.939075,,,,,,,,,,,,,,,
,,,,,5000,2,44,20.714220,,,,,,,,,,,,,,,
,,,,,5000,2,45,0.852205,,,,,,,,,,,,,,,
,,,,,5000,2,45,20.714548,,,,,,,,,,,,,,,
,,,,,5000,2,46,0.897891,,,,,,,,,,,,,,,
,,,,,5000,2,46,20.713933,,,,,,,,,,,,,,,
,,,,,5000,2,47,0.921047,,,,,,,,,,,,,,,
,,,,,5000,2,47,20.714389,,,,,,,,,,,,,,,
,,,,,5000,2,48,0.872061,,,,,,,,,,,,,,,
,,,,,5000,2,48,20.713843,,,,,,,,,,,,,,,
,,,,,5000,2,49,0.928817,,,,,,,,,,,,,,,
,,,,,5000,2,49,20.714282,,,,,,,,,,,,,,,
,,,,,5000,2,50,0.926232,,,,,,,,,,,,,,,
,,,,,5000,2,50,20.714904,,,,,,,,,,,,,,,
,,,,,5000,2,51,0.968502,,,,,,,,,,,,,,,
,,,,,5000,2,51,20.714718,,,,,,,,,,,,,,,
,,,,,5000,2,52,0.941433,,,,,,,,,,,,,,,
,,,,,5000,2,52,20.715177,,,,,,,,,,,,,,,
,,,,,5000,2,53,0.999216,,,,,,,,,,,,,,,
,,,,,5000,2,53,20.714324,,,,,,,,,,,,,,,
,,,,,5000,2,54,1.036132,,,,,,,,,,,,,,,
,,,,,5000,2,54,20.714361,,,,,,,,,,,,,,,
,,,,,5000,2,55,1.127664,,,,,,,,,,,,,,,
,,,,,5000,2,55,20.714318,,,,,,,,,,,,,,,
,,,,,5000,2,56,1.028189,,,,,,,,,,,,,,,
,,,,,5000,2,56,20.715118,,,,,,,,,,,,,,,
,,,,,5000,2,57,1.077274,,,,,,,,,,,,,,,
,,,,,5000,2,57,20.714161,,,,,,,,,,,,,,,
,,,,,5000,2,58,1.074500,,,,,,,,,,,,,,,
,,,,,5000,2,58,20.714888,,,,,,,,,,,,,,,
,,,,,5000,2,59,1.047166,,,,,,,,,,,,,,,
,,,,,5000,2,59,20.713305,,,,,,,,,,,,,,,
,,,,,5000,2,60,1.102366,,,,,,,,,,,,,,,
,,,,,5000,2,60,20.714562,,,,,,,,,,,,,,,
,,,,,5000,2,61,1.216474,,,,,,,,,,,,,,,
,,,,,5000,2,61,20.713900,,,,,,,,,,,,,,,
,,,,,5000,2,62,1.149487,,,,,,,,,,,,,,,
,,,,,5000,2,62,20.714560,,,,,,,,,,,,,,,
,,,,,5000,2,63,1.133751,,,,,,,,,,,,,,,
,,,,,5000,2,63,20.714446,,,,,,,,,,,,,,,
,,,,,5000,2,64,1.147329,,,,,,,,,,,,,,,
,,,,,5000,2,64,20.715171,,,,,,,,,,,,,,,
,,,,,5000,3,1,13.925867,,,,,,,,,,,,,,,
,,,,,5000,3,1,13.924120,,,,,,,,,,,,,,,
,,,,,5000,3,2,6.978378,,,,,,,,,,,,,,,
,,,,,5000,3,2,13.902927,,,,,,,,,,,,,,,
,,,,,5000,3,3,4.792397,,,,,,,,,,,,,,,
,,,,,5000,3,3,13.910029,,,,,,,,,,,,,,,
,,,,,5000,3,4,3.597038,,,,,,,,,,,,,,,
,,,,,5000,3,4,13.908477,,,,,,,,,,,,,,,
,,,,,5000,3,5,2.896653,,,,,,,,,,,,,,,
,,,,,5000,3,5,13.907985,,,,,,,,,,,,,,,
,,,,,5000,3,6,2.413651,,,,,,,,,,,,,,,
,,,,,5000,3,6,13.907878,,,,,,,,,,,,,,,
,,,,,5000,3,7,2.074256,,,,,,,,,,,,,,,
,,,,,5000,3,7,13.907978,,,,,,,,,,,,,,,
,,,,,5000,3,8,1.854391,,,,,,,,,,,,,,,
,,,,,5000,3,8,13.908008,,,,,,,,,,,,,,,
,,,,,5000,3,9,1.683242,,,,,,,,,,,,,,,
,,,,,5000,3,9,13.908743,,,,,,,,,,,,,,,
,,,,,5000,3,10,1.515023,,,,,,,,,,,,,,,
,,,,,5000,3,10,13.908409,,,,,,,,,,,,,,,
,,,,,5000,3,11,1.382371,,,,,,,,,,,,,,,
