"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,500,68,0.01,,250,1,98,0.003973,,250,1,98,0.00,,250,28,1,0.01,,250,28,1,0.01
,500,69,0.01,,250,1,99,0.009989,,250,1,99,0.01,,250,28,2,0.00,,250,28,2,0.00
,500,70,0.01,,250,1,99,0.003966,,250,1,99,0.00,,250,28,2,0.01,,250,28,2,0.01
,500,71,0.01,,250,1,100,0.010133,,250,1,100,0.01,,250,30,2,0.00,,250,30,2,0.00
,500,72,0.02,,250,1,100,0.004006,,250,1,100,0.00,,250,30,2,0.01,,250,30,2,0.01
,500,73,0.02,,250,1,101,0.011183,,250,1,101,0.01,,250,32,1,0.01,,250,32,1,0.01
,500,74,0.02,,250,1,101,0.004929,,250,1,101,0.00,,250,32,1,0.01,,250,32,1,0.01
,500,75,0.02,,250,1,102,0.011342,,250,1,102,0.01,,250,32,2,0.00,,250,32,2,0.00
,500,76,0.02,,250,1,102,0.004951,,250,1,102,0.00,,250,32,2,0.01,,250,32,2,0.01
,500,77,0.02,,250,1,103,0.011122,,250,1,103,0.01,,250,36,1,0.01,,250,36,1,0.01
,500,78,0.02,,250,1,103,0.004876,,250,1,103,0.01,,250,36,1,0.01,,250,36,1,0.01
,500,79,0.02,,250,1,104,0.011673,,250,1,104,0.01,,250,40,1,0.01,,250,40,1,0.01
,500,80,0.02,,250,1,104,0.004869,,250,1,104,0.01,,250,40,1,0.01,,250,40,1,0.01
,500,81,0.02,,250,1,105,0.011247,,250,1,105,0.01,,250,44,1,0.01,,250,44,1,0.01
,500,82,0.02,,250,1,105,0.004833,,250,1,105,0.01,,250,44,1,0.01,,250,44,1,0.01
,500,83,0.02,,250,1,106,0.011445,,250,1,106,0.01,,250,48,1,0.01,,250,48,1,0.01
,500,84,0.02,,250,1,106,0.004811,,250,1,106,0.01,,250,48,1,0.01,,250,48,1,0.01
,500,85,0.02,,250,1,107,0.011533,,250,1,107,0.01,,250,52,1,0.01,,250,52,1,0.01
,500,86,0.02,,250,1,107,0.004770,,250,1,107,0.01,,250,52,1,0.01,,250,52,1,0.01
,500,87,0.02,,250,1,108,0.011615,,250,1,108,0.01,,250,56,1,0.01,,250,56,1,0.01
,500,88,0.02,,250,1,108,0.004784,,250,1,108,0.01,,250,56,1,0.01,,250,56,1,0.01
,500,89,0.02,,250,1,109,0.011607,,250,1,109,0.01,,250,60,1,0.01,,250,60,1,0.01
